player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
363758022,8,0,278,654.8876,20,0,0,3,2,0,0,4,0,0.58064514,13.833569,1,0,0
252737052,11,3,232,655.0005,33,2,0,2,2,3,0,1,1,0.6451613,32.266457,0,0,0
352545711,6,2,246,639.07996,18,1,0,4,7,1,0,0,0,0.5483871,0.0,1,0,0
157989498,1,7,32,319.42706,0,0,5,1,4,4,1,1,0,0.3548387,28.899906,1,0,0
1031547092,5,3,82,469.3361,9,0,8,15,4,2,3,1,0,0.5483871,32.19922,0,1,0
1044002267,5,7,346,622.8583,44,0,1,1,1,1,0,3,0,0.46666667,0.0,0,0,0
195108598,3,6,166,370.16202,24,0,0,1,2,1,0,1,0,0.53333336,16.499048,0,0,0
106573901,3,6,192,454.77048,9,0,3,1,5,0,0,0,0,0.73333335,5.0,0,0,0
164199202,2,5,180,349.49918,45,0,0,8,2,4,0,3,0,0.53333336,0.0,0,0,0
73401082,1,7,25,269.48245,0,0,9,7,2,1,3,1,0,0.53333336,0.0,0,0,0

