player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
172099728,5,3,606,609.7635,56,0,0,5,6,3,0,0,0,0.4090909,15.400378,1,0,0
480412663,8,5,475,539.4847,56,0,2,1,13,2,0,3,0,0.8181818,28.500214,1,0,0
165564598,4,4,578,620.37305,59,1,0,6,3,1,0,9,1,0.36363637,30.19985,1,0,0
317880638,4,5,111,328.59106,6,0,5,2,1,6,4,2,0,0.59090906,74.13293,1,0,0
196878136,0,13,41,256.86203,3,0,17,0,2,6,4,1,0,0.59090906,36.333607,1,0,1
320252024,13,1,588,736.00964,77,4,0,2,6,1,0,0,1,0.6333333,30.865108,2,0,0
137129583,6,3,569,677.2945,67,1,2,1,12,2,0,1,0,0.73333335,0.0,2,0,0
118134220,5,3,396,577.68677,30,0,0,4,3,1,0,5,1,0.9,64.83962,2,0,0
157475523,2,5,145,362.55692,3,0,5,0,4,7,0,3,0,0.8333333,23.733156,0,0,0
111114687,4,10,37,350.13458,3,0,15,4,3,11,8,4,0,0.73333335,26.699263,1,0,0

