player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
171262902,7,2,477,870.23627,93,5,0,1,6,2,0,2,1,0.45454547,2.133545,1,0,0
312436974,15,1,188,617.9751,22,1,1,1,12,0,0,2,0,0.6969697,3.899829,1,0,2
56351509,5,0,267,664.85394,12,3,0,0,0,0,0,3,0,0.6060606,48.66701,1,0,0
93817671,3,3,64,426.30255,3,0,9,1,4,9,0,1,0,0.54545456,43.7995,1,0,0
103735745,3,2,61,366.09717,0,0,6,2,1,6,4,2,0,0.57575756,44.5661,0,0,1
321580662,1,2,382,520.17816,56,1,1,0,1,0,0,0,0,0.375,14.200001,0,0,1
847565596,3,10,94,359.28647,3,0,4,1,1,4,3,3,0,0.75,0.0,0,1,0
106305042,0,2,325,470.1446,39,0,1,0,7,1,0,0,0,0.625,4.5,0,0,0
218231587,3,9,45,245.59793,0,0,9,4,2,3,3,0,0,1.0,19.266165,0,0,0
302214028,1,10,217,428.6023,32,0,0,1,2,0,0,3,0,0.75,15.300121,0,0,1

