player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
171262902,10,1,517,699.89014,79,4,1,1,4,5,0,1,1,0.71875,53.5993,0,0,0
312436974,4,7,503,721.148,29,2,2,1,2,1,0,6,0,0.71875,97.4718,0,0,0
56351509,4,3,445,632.8785,63,0,1,2,4,4,0,0,0,0.46875,32.267765,0,0,0
93817671,4,10,52,297.7151,0,1,9,3,3,5,4,0,0,0.5,30.700146,0,0,0
103735745,10,9,140,447.61346,9,0,10,3,4,3,4,7,0,0.75,34.900127,0,0,0
124801257,11,2,566,723.1455,72,1,1,3,3,0,0,2,1,0.6666667,21.367113,2,1,0
301750126,9,3,445,600.5186,30,1,2,1,16,1,0,0,1,0.6666667,0.0,0,0,0
126842529,2,8,269,461.7223,51,0,1,2,2,1,0,2,0,0.53333336,40.799828,0,0,0
256156323,3,11,29,287.8326,3,0,10,7,1,9,6,5,0,0.5,100.73474,0,0,0
320219866,5,8,134,331.21042,24,1,9,8,5,7,1,1,0,0.5,1.7666016,2,0,0

