player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
320252024,9,7,1102,929.3549,98,7,0,3,6,0,0,0,3,0.6785714,32.299927,3,0,0
137129583,8,8,725,690.62036,86,2,1,5,12,4,0,0,0,0.71428573,91.166794,3,0,0
118134220,4,7,499,530.3443,27,0,0,4,4,1,0,2,0,0.5,5.900113,3,0,0
157475523,0,12,55,315.83212,6,0,8,4,5,13,3,12,0,0.64285713,145.83289,0,0,1
111114687,6,15,91,384.63354,9,0,22,0,1,11,8,11,0,0.8214286,26.767529,1,1,0
124801257,18,2,798,784.9183,125,3,0,2,5,0,0,0,1,0.6458333,38.0,1,0,1
301750126,6,4,811,771.019,53,1,2,1,22,1,0,3,1,0.6666667,0.0,0,0,1
126842529,14,8,466,714.5387,35,3,0,2,7,3,0,2,0,0.75,44.169243,1,0,0
256156323,6,10,66,377.20615,3,0,15,5,4,11,8,11,0,0.7291667,252.76344,1,0,0
320219866,4,4,305,483.44873,14,3,14,3,4,8,3,1,0,0.5416667,2.5,1,0,0

