player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
140251702,3,2,420,650.5628,46,1,0,0,14,2,0,0,0,0.7222222,30.733974,0,0,3
145065875,3,4,75,375.48053,0,0,7,5,5,7,3,1,0,0.5,8.734081,0,0,0
123787715,3,5,168,414.0381,20,0,10,7,2,4,3,7,0,0.8333333,73.73122,0,1,1
320017600,6,3,424,668.7385,54,4,2,1,3,1,0,0,0,0.6666667,0.0,0,0,0
92487440,3,2,481,637.73425,60,0,0,4,0,1,0,8,0,0.6666667,32.532776,0,0,0
879017980,0,2,492,616.753,71,1,0,5,1,2,0,0,1,0.375,40.53306,1,0,1
445291085,3,4,299,499.16205,17,0,0,0,11,1,0,0,1,0.6875,79.566345,0,0,0
332342615,4,3,399,590.92804,65,4,1,0,3,1,0,1,1,0.75,6.833349,2,0,0
181267255,4,4,107,341.09528,12,0,6,7,1,5,3,5,0,0.6875,15.233105,2,0,0
1675898897,5,6,48,302.99332,15,0,13,4,4,13,2,1,0,0.875,17.800013,1,0,0

