player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
124801257,6,3,467,640.4002,69,1,0,0,0,0,1,4,0,0.7647059,19.733229,0,1,0
301750126,3,6,359,504.88626,37,0,1,1,11,2,0,0,0,0.5294118,19.366505,0,0,0
126842529,1,6,357,495.01935,33,1,0,1,1,1,0,3,0,0.47058824,128.99709,0,0,0
256156323,4,9,64,308.89685,12,0,8,8,2,6,1,4,0,0.5294118,33.516556,0,0,0
320219866,3,10,24,277.37268,0,0,10,2,4,3,4,1,0,0.7647059,49.033123,0,0,0
16497807,4,7,49,369.39728,6,0,8,1,0,7,4,8,0,0.6764706,52.298676,1,0,0
97590558,4,3,265,504.0869,35,0,0,3,6,1,0,0,0,0.64705884,20.599413,1,0,0
201358612,10,2,341,644.22205,46,0,0,0,15,0,0,0,0,0.7058824,53.502506,1,0,0
77490514,7,3,60,354.83423,3,0,9,11,1,4,2,2,0,0.85294116,60.89906,1,0,0
152962063,9,2,622,929.53827,90,8,1,4,3,2,1,0,2,0.6764706,17.098785,1,0,0

