player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
1044002267,8,0,638,980.84814,67,6,0,4,5,2,0,1,1,0.7894737,17.3,1,0,0
195108598,4,5,299,556.80615,24,1,0,2,3,1,0,0,0,0.7368421,23.500072,0,0,0
106573901,5,2,347,632.6454,29,1,2,1,8,2,1,0,0,0.8947368,16.434105,1,0,0
164199202,2,4,135,455.45248,26,0,3,5,3,4,0,0,1,0.84210527,0.0,1,0,0
73401082,0,10,15,356.02933,3,0,14,0,2,4,6,2,0,0.7894737,66.000046,0,0,1
124801257,4,3,455,703.9973,59,1,0,2,3,0,0,3,0,0.3809524,6.1331053,0,0,0
301750126,3,4,303,507.15982,12,0,1,1,9,1,0,0,0,0.7619048,8.0,0,0,0
126842529,4,5,388,534.5266,35,0,1,6,1,3,0,1,0,0.42857143,17.79995,0,1,0
256156323,4,4,89,340.53278,6,0,10,2,0,5,2,9,0,0.6666667,46.066814,0,0,3
320219866,6,3,178,444.88666,24,0,6,5,4,9,5,2,0,0.7619048,8.166601,0,0,0

