player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
124801257,10,1,550,729.86676,53,4,0,0,3,1,0,1,2,0.37142858,19.16709,2,0,1
301750126,8,3,479,661.3917,65,3,2,0,20,3,0,0,0,0.8857143,11.5,0,0,0
126842529,11,3,591,727.0686,41,2,0,14,2,4,0,8,0,0.7714286,38.43299,0,0,0
256156323,2,7,97,341.19928,6,0,10,1,2,8,4,11,0,0.6571429,56.064796,1,0,0
320219866,4,2,170,438.75143,15,0,11,0,3,7,5,2,0,0.6571429,16.53365,1,0,0
957204049,6,6,620,738.8089,91,6,0,3,5,0,0,0,1,0.8125,12.133821,0,0,0
185590374,2,8,538,605.67084,45,1,2,1,8,1,0,3,0,0.75,15.966797,0,0,0
835864135,2,6,263,391.8307,33,0,0,2,3,1,0,1,0,0.625,31.899902,0,0,0
919735867,3,6,141,330.08755,9,0,8,2,4,3,3,0,0,0.5,15.433311,0,0,0
130991304,3,9,34,283.47098,2,0,14,2,1,3,5,3,0,0.75,105.86819,0,1,0

