player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
363758022,8,9,690,639.2995,105,1,1,0,6,2,0,3,1,0.4489796,1.1165841,0,0,0
352545711,21,9,644,689.6866,62,1,0,1,20,4,0,0,1,0.6530612,92.69874,1,0,0
252737052,19,3,555,668.57477,27,3,0,0,4,6,0,0,2,0.63265306,0.0,1,1,0
1031547092,0,9,74,284.44406,6,0,15,3,2,4,5,4,0,0.59183675,10.998826,1,0,0
157989498,1,10,201,383.02872,30,0,16,5,3,9,4,15,0,0.5510204,11.601089,1,0,1
10366616,3,20,163,437.02625,8,0,17,0,3,14,5,8,0,0.475,21.301167,0,0,0
100058342,12,5,822,833.2498,92,5,0,3,10,4,0,4,0,0.7,65.901924,2,0,1
898455820,16,4,809,860.2631,44,4,1,3,10,0,0,1,0,0.775,9.566504,2,0,2
183719386,3,11,599,637.13904,71,0,2,2,7,2,0,2,0,0.675,85.20002,1,0,3
25907144,5,9,256,455.74557,15,0,10,4,6,3,5,3,1,0.575,19.866753,2,0,3

