player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
116585378,16,5,612,669.67596,72,1,2,1,19,8,0,0,0,0.6923077,46.520573,2,0,0
9403474,3,12,78,266.0704,6,0,16,1,0,3,5,0,1,0.7692308,10.265566,2,0,0
190826739,3,5,612,647.30273,33,1,0,1,4,4,0,3,0,0.61538464,123.367905,2,0,1
127617979,12,9,834,819.2693,84,4,1,0,3,3,0,1,2,0.6666667,45.533127,2,0,0
108958769,4,8,152,412.5422,0,0,9,10,3,5,5,1,0,0.35897437,5.0,0,0,0
177203952,6,3,833,801.7446,80,3,0,4,6,3,0,4,1,0.43589744,86.76655,1,0,2
1026694469,15,5,821,925.0351,59,4,2,1,15,1,0,2,0,0.71794873,25.567759,1,0,1
292921272,11,7,836,859.7534,85,1,1,5,8,5,4,6,0,0.71794873,21.025393,1,1,0
105045291,2,10,151,419.89432,3,1,5,3,2,11,2,14,0,0.53846157,82.13317,0,0,3
81306398,4,14,51,292.94363,3,0,21,3,6,11,4,7,0,0.53846157,0.0,0,0,0

