player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
124801257,1,5,373,518.1061,47,0,1,2,3,0,0,0,0,0.3888889,5.933447,0,0,0
301750126,5,4,351,507.01126,42,0,2,4,7,1,0,2,0,0.6666667,15.417528,1,1,0
126842529,1,6,339,481.21063,46,1,0,1,1,1,0,3,0,0.5,34.7669,1,0,0
256156323,6,8,66,352.36444,0,1,7,7,0,3,3,3,0,0.7777778,25.132698,1,0,0
320219866,5,10,145,382.01163,21,0,8,3,2,8,2,0,0,0.6666667,0.0,1,0,0
321580662,6,2,477,971.39655,94,6,0,4,7,0,0,0,1,0.5151515,37.40034,1,0,0
847565596,5,3,42,407.15808,3,0,5,4,1,6,3,5,0,0.6969697,27.533295,0,0,0
106305042,4,4,281,544.6655,23,1,1,3,15,2,0,1,1,0.3939394,64.23428,0,0,0
218231587,5,5,27,363.14523,6,0,12,2,1,1,3,4,0,0.72727275,162.53381,0,0,2
302214028,13,4,334,782.1308,51,1,1,2,5,1,0,5,0,0.57575756,42.06867,0,0,1

