player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
155447692,7,9,179,424.53397,36,0,2,7,0,0,2,3,0,0.85,19.50078,1,0,1
181716137,4,4,444,549.35645,53,0,2,2,5,2,0,1,0,0.5,56.900146,1,0,0
156328257,3,12,294,434.02182,21,0,0,1,1,5,0,6,0,0.5,55.30082,1,0,1
140411011,5,12,476,604.92804,49,3,1,5,5,2,0,0,0,0.4,27.599018,0,0,1
118559150,1,4,159,309.88748,21,0,17,2,4,9,5,6,0,0.6,3.7334228,1,0,0
1044002267,17,3,667,895.13086,111,6,0,3,9,1,0,0,3,0.58536583,0.0,0,0,2
195108598,9,1,464,657.0591,53,3,0,2,3,2,0,3,0,0.73170733,22.333057,0,0,0
106573901,11,5,383,661.8968,10,0,1,1,15,2,0,2,0,0.6585366,25.29934,0,1,1
164199202,2,8,88,388.10483,6,1,8,3,4,10,0,2,0,0.70731705,212.30069,0,0,0
73401082,2,3,42,404.82846,0,0,13,0,3,0,7,2,0,0.46341464,31.53357,0,0,0

