match_id,player_id,hero_id,is_radiant,lose
8741845487,113457795,13,TRUE,1
8741845487,139937922,108,TRUE,1
8741845487,158847773,37,TRUE,1
8741845487,165564598,98,FALSE,0
8741845487,172099728,70,FALSE,0
8741845487,196878136,64,FALSE,0
8741845487,206642367,21,TRUE,1
8741845487,207829314,119,TRUE,1
8741845487,317880638,26,FALSE,0
8741845487,480412663,28,FALSE,0
8741845565,90423751,19,TRUE,1
8741845565,93817671,110,FALSE,0
8741845565,103735745,27,FALSE,0
8741845565,154974246,120,TRUE,1
8741845565,160119017,96,TRUE,1
8741845565,164962869,11,TRUE,1
8741845565,171262902,136,FALSE,0
8741845565,191362875,37,TRUE,1
8741845565,195108598,65,FALSE,0
8741845565,312436974,74,FALSE,0
8741845584,73401082,37,FALSE,0
8741845584,106573901,47,FALSE,0
8741845584,118559150,51,TRUE,1
8741845584,140411011,11,TRUE,1
8741845584,155447692,27,TRUE,1
8741845584,156328257,108,TRUE,1
8741845584,164199202,19,FALSE,0
8741845584,181716137,106,TRUE,1
8741845584,402583877,55,FALSE,0
8741845584,1044002267,46,FALSE,0
8741845660,9403474,27,FALSE,1
8741845660,86698277,98,TRUE,0
8741845660,91730177,58,FALSE,1
8741845660,93618577,38,TRUE,0
8741845660,116585378,13,FALSE,1
8741845660,127617979,15,FALSE,1
8741845660,136829091,37,TRUE,0
8741845660,190826739,78,FALSE,1
8741845660,331855530,138,TRUE,0
8741845660,346412363,100,TRUE,0
8741914801,73401082,110,FALSE,0
8741914801,106573901,106,FALSE,0
8741914801,118559150,58,TRUE,1
8741914801,140411011,46,TRUE,1
8741914801,155447692,19,TRUE,1
8741914801,156328257,129,TRUE,1
8741914801,164199202,100,FALSE,0
8741914801,181716137,13,TRUE,1
8741914801,402583877,47,FALSE,0
8741914801,1044002267,11,FALSE,0
8741922328,90423751,100,TRUE,1
8741922328,93817671,110,FALSE,0
8741922328,103735745,79,FALSE,0
8741922328,154974246,145,TRUE,1
8741922328,160119017,96,TRUE,1
8741922328,164962869,48,TRUE,1
8741922328,171262902,38,FALSE,0
8741922328,191362875,37,TRUE,1
8741922328,195108598,99,FALSE,0
8741922328,312436974,28,FALSE,0
8741931257,9403474,27,TRUE,1
8741931257,86698277,155,FALSE,0
8741931257,91730177,66,TRUE,1
8741931257,93618577,16,FALSE,0
8741931257,116585378,17,TRUE,1
8741931257,127617979,46,TRUE,1
8741931257,136829091,64,FALSE,0
8741931257,190826739,65,TRUE,1
8741931257,331855530,72,FALSE,0
8741931257,346412363,100,FALSE,0
8741939284,113457795,35,FALSE,1
8741939284,139937922,65,FALSE,1
8741939284,158847773,27,FALSE,1
8741939284,165564598,38,TRUE,0
8741939284,172099728,145,TRUE,0
8741939284,196878136,111,TRUE,0
8741939284,206642367,136,FALSE,1
8741939284,207829314,19,FALSE,1
8741939284,317880638,123,TRUE,0
8741939284,480412663,13,TRUE,0
8742039237,93817671,64,FALSE,0
8742039237,103735745,19,FALSE,0
8742039237,165564598,108,TRUE,1
8742039237,171262902,145,FALSE,0
8742039237,172099728,48,TRUE,1
8742039237,195108598,15,FALSE,0
8742039237,196878136,110,TRUE,1
8742039237,312436974,28,FALSE,0
8742039237,317880638,27,TRUE,1
8742039237,480412663,17,TRUE,1
8742039319,90423751,19,FALSE,0
8742039319,118559150,27,TRUE,1
8742039319,140411011,21,TRUE,1
8742039319,154974246,145,FALSE,0
8742039319,155447692,41,TRUE,1
8742039319,156328257,129,TRUE,1
8742039319,160119017,33,FALSE,0
8742039319,164962869,11,FALSE,0
8742039319,181716137,74,TRUE,1
8742039319,191362875,64,FALSE,0
8742051676,86698277,65,FALSE,0
8742051676,93618577,126,FALSE,0
8742051676,113457795,39,TRUE,1
8742051676,136829091,64,FALSE,0
8742051676,139937922,155,TRUE,1
8742051676,158847773,87,TRUE,1
8742051676,206642367,63,TRUE,1
8742051676,207829314,27,TRUE,1
8742051676,331855530,136,FALSE,0
8742051676,346412363,79,FALSE,0
8742051677,9403474,100,TRUE,0
8742051677,73401082,37,FALSE,1
8742051677,91730177,64,TRUE,0
8742051677,106573901,13,FALSE,1
8742051677,116585378,88,TRUE,0
8742051677,127617979,21,TRUE,0
