team_id,team_name,team_tag
2163,Team Liquid,Liquid
726228,Vici Gaming,VG
2586976,OG,OG
5017210,Team Resilience,Resilience
7119388,Team Spirit,TSpirit
8255888,BoomBoys,BB
8261500,Xtreme Gaming,XG
9247354,Team Falcons,FLCN
9467224,Aurora Gaming,Aurora
9572001,TEAM VISION,VSN
9823272,Team Yandex,TY
9964962,GamerLegion,GL
10136357,Nigma Galaxy ,NGX
10149530,HULIGANI,HU
10150413,Iron Wing,IW
10150538,LGD Gaming,LGD
