player_role,prefix_name,prefix_desc,all_player_prob,all_player_bonus,top_player_prob,top_player_bonus
Core,Dashing,+15% when playing an Agility Hero,0.3263087519381084,4.894631279071626,0.6137680793443725,9.206521190165587
Core,Coveted,+15% when that player's hero is chosen last,0.33185049074638717,4.977757361195808,0.44313958239325274,6.647093735898791
Core,Virtuoso,+13% when playing a hero they are a Master or Grandmaster with,0.27773768649763586,3.610589924469266,0.3605294090468542,4.686882317609105
Core,Glamorous,+25% when the player has an Arcana equipped,0.1139598109721316,2.8489952743032902,0.16231255950323423,4.057813987580856
Core,Emerald,+18% when playing a Green Hero,0.14701082694513032,2.6461948850123456,0.16964377926795438,3.0535880268231788
Core,Otherworldly,"+13% when playing an Undead, Demon, or Spirit Hero",0.18246042151328365,2.3719854796726874,0.21809500672393128,2.8352350874111067
Core,Brawny,+13% when playing a Strength Hero,0.4069460199461733,5.290298259300253,0.19627686606148806,2.5515992587993446
Core,Clutch,+11% when playing the last possible match of a series,0.22468507915667252,2.4715358707233976,0.20878460990491515,2.2966307089540665
Core,Sacrificial,+15% when that player's hero is chosen first,0.20357362700829523,3.0536044051244287,0.1468830760165382,2.2032461402480727
Core,Balanced,+15% when playing a Universal Hero,0.20319323504217807,3.047898525632671,0.14224382558925747,2.133657383838862
Core,Hirsute,+10% when playing a Bearded or Fuzzy Hero,0.4020040041695637,4.020040041695637,0.21077939407442164,2.1077939407442163
Core,Crimson,+13% when playing a Red Hero,0.281458597652635,3.6589617694842547,0.16078122436993633,2.0901559168091723
Core,Cerulean,+19% when playing a Blue Hero,0.07536643296715782,1.4319622263759986,0.10463555949610268,1.9880756304259508
Core,Elemental,"+15% when playing an Aquatic, Fiery, or Icy Hero",0.15345993583737627,2.301899037560644,0.12345101500900153,1.851765225135023
Core,Bestial,+15% if playing a hero with Horns or Wings,0.1627540745096335,2.4413111176445024,0.1203450664233112,1.805175996349668
Core,Canny,+11% when playing an Intelligence Hero,0.06355199307354026,0.6990719238089429,0.047711229004881985,0.5248235190537018
Mid,Sacrificial,+15% when that player's hero is chosen first,0.2569387626875712,3.854081440313568,0.3294857075171733,4.942285612757599
Mid,Balanced,+15% when playing a Universal Hero,0.2423522995033428,3.635284492550142,0.31869896010157023,4.7804844015235535
Mid,Hirsute,+10% when playing a Bearded or Fuzzy Hero,0.41783037891417946,4.178303789141794,0.409086214019089,4.0908621401908905
Mid,Cerulean,+19% when playing a Blue Hero,0.241777416650833,4.593770916365827,0.2150024179046574,4.085045940188491
Mid,Otherworldly,"+13% when playing an Undead, Demon, or Spirit Hero",0.33760954880917526,4.388924134519279,0.3031803775915823,3.94134490869057
Mid,Glamorous,+25% when the player has an Arcana equipped,0.15912740200885162,3.9781850502212905,0.15340543203107945,3.8351358007769862
Mid,Bestial,+15% if playing a hero with Horns or Wings,0.26557702580788883,3.9836553871183327,0.24645790127519446,3.696868519127917
Mid,Brawny,+13% when playing a Strength Hero,0.21820747462697726,2.836697170150704,0.2581554071377296,3.3560202927904847
Mid,Canny,+11% when playing an Intelligence Hero,0.36675736022534194,4.034330962478761,0.2854027667344633,3.139430434079096
Mid,Virtuoso,+13% when playing a hero they are a Master or Grandmaster with,0.4291854815954391,5.5794112607407085,0.24015213427152193,3.1219777455297852
Mid,Crimson,+13% when playing a Red Hero,0.2641036973454224,3.433348065490491,0.23683654354495526,3.0788750660844184
Mid,Clutch,+11% when playing the last possible match of a series,0.22453215368348114,2.4698536905182924,0.25337857722349544,2.78716434945845
Mid,Coveted,+15% when that player's hero is chosen last,0.21494822614407144,3.2242233921610715,0.18342905437228046,2.751435815584207
Mid,Elemental,"+15% when playing an Aquatic, Fiery, or Icy Hero",0.19261073079818355,2.8891609619727534,0.14315280036154185,2.147292005423128
Mid,Dashing,+15% when playing an Agility Hero,0.17268286564433802,2.5902429846650703,0.13774286602623692,2.066142990393554
Mid,Emerald,+18% when playing a Green Hero,0.068821108853428,1.238779959361704,0.06577582168807761,1.183964790385397
Support,Canny,+11% when playing an Intelligence Hero,0.4600754910567984,5.0608304016247825,0.49856493156284465,5.484214247191291
Support,Emerald,+18% when playing a Green Hero,0.24291829644212784,4.372529335958301,0.27306413209982333,4.91515437779682
Support,Balanced,+15% when playing a Universal Hero,0.2277368771655284,3.416053157482926,0.2836062445158339,4.254093667737508
Support,Crimson,+13% when playing a Red Hero,0.2410970020604629,3.1342610267860174,0.2337384399496994,3.038599719346092
Support,Bestial,+15% if playing a hero with Horns or Wings,0.17785096814070817,2.6677645221106223,0.196149466321726,2.94224199482589
Support,Sacrificial,+15% when that player's hero is chosen first,0.16907306281807583,2.5360959422711375,0.1947399467273176,2.921099200909764
Support,Clutch,+11% when playing the last possible match of a series,0.22735059059499713,2.5008564965449684,0.2353678041712006,2.5890458458832066
Support,Elemental,"+15% when playing an Aquatic, Fiery, or Icy Hero",0.18648305216837405,2.7972457825256107,0.17120087039227289,2.5680130558840935
Support,Hirsute,+10% when playing a Bearded or Fuzzy Hero,0.27948105065877926,2.7948105065877926,0.24013049490227348,2.4013049490227347
Support,Cerulean,+19% when playing a Blue Hero,0.10430487755134292,1.9817926734755156,0.12209288709830861,2.3197648548678638
Support,Virtuoso,+13% when playing a hero they are a Master or Grandmaster with,0.10450806039501656,1.3586047851352152,0.15270375235812436,1.9851487806556167
Support,Otherworldly,"+13% when playing an Undead, Demon, or Spirit Hero",0.1506932365003677,1.95901207450478,0.14320480792702028,1.8616625030512637
Support,Brawny,+13% when playing a Strength Hero,0.21943472822283153,2.85265146689681,0.14084341427808444,1.8309643856150979
Support,Dashing,+15% when playing an Agility Hero,0.08367053639770144,1.2550580459655216,0.07327168225603123,1.0990752338404683
Support,Glamorous,+25% when the player has an Arcana equipped,0.04922557715981529,1.2306394289953824,0.04253252991689301,1.0633132479223253
Support,Coveted,+15% when that player's hero is chosen last,0.062225170834443,0.9333775625166449,0.06603186628775716,0.9904779943163574
