player_role,emblem_colour,emblem_stat,all_player_average,all_player_stddev,top_player_average,top_player_stddev
Core,Green,Teamfight Participation,1236.2498449851903,271.1817141275021,1210.7115109229146,285.28513820066644
Core,Green,Tormentor Kills,674.895901884353,662.3661381934048,920.2379222914223,765.0785444714711
Core,Green,Roshan Kills,383.1404962191188,537.2499497988879,599.5721995923639,709.2027690239166
Core,Green,First Blood,201.77576522250519,534.9517362371232,259.9968380497636,610.9673536785137
Core,Green,Stuns,384.0395587163721,421.5359882574187,259.8373955061561,325.2763270603113
Core,Green,Courier Kills,192.4866959433719,413.90486200482377,147.39547245837255,398.8959014545639
Core,Red,Creep Score,1297.888093796433,494.04786089426386,1690.8523383730949,687.124105255998
Core,Red,GPM,1311.9643482716897,221.73546750718572,1528.4492756708255,285.28695588203936
Core,Red,Madstone Collected,920.5458298454118,462.8767462736781,1302.2482695164053,573.0116025459697
Core,Red,Deaths,1130.4118215370181,461.3742134109365,1226.4673834493528,430.297291176562
Core,Red,Tower Kills,730.3386425561995,665.0967103092376,1163.791173908683,830.5623116403652
Core,Red,Kills,799.1022780560377,442.27109643499375,952.6503639141506,500.7893475107658
Mid,Blue,Runes Grabbed,1245.1702264912155,564.8914823516408,1298.1414891187599,585.0959481470852
Mid,Blue,Camps Stacked,373.9590544314217,324.3446898626466,378.90613723650176,388.66667472342766
Mid,Blue,Lotuses Grabbed,306.04542975929155,395.67306582301535,311.91343676865307,425.5742654742018
Mid,Blue,Watchers Taken,181.26260060966268,259.0722013422169,223.27917444430693,287.3161627775038
Mid,Blue,Wards Placed,174.2475251210315,76.89641204346476,174.99967584613097,77.79850045510597
Mid,Blue,Smokes Used,57.205363284177416,123.25601390886682,87.8369783137539,158.16553616855418
Mid,Green,Teamfight Participation,1347.7967114888293,271.86265906210645,1389.923159647905,249.65727319676364
Mid,Green,Stuns,676.0743277814062,726.1501760031667,732.1145373603316,849.5311192587452
Mid,Green,Tormentor Kills,416.42801282356135,539.8601712123251,422.30092417823505,572.019981131701
Mid,Green,Roshan Kills,246.08084619289403,483.4775221079477,303.8748242022739,566.956233768828
Mid,Green,Courier Kills,253.17223967425207,482.6835561639135,258.83625549168386,468.35515163852995
Mid,Green,First Blood,114.99111009448512,405.23318019883067,106.27636144570164,413.5246875299541
Mid,Red,GPM,1226.3567725349344,201.58893614642352,1251.7363787493184,186.40449971746702
Mid,Red,Creep Score,1184.8364178640136,441.87711007052064,1250.4193382622582,461.30282237884876
Mid,Red,Deaths,1171.6848901384733,422.41723037275005,1230.4310765300743,406.464602361094
Mid,Red,Kills,867.6480093168096,474.01830871263405,980.3839422546046,509.06811595695666
Mid,Red,Madstone Collected,696.5042867703199,410.82551630651733,861.2921292965809,479.040504867762
Mid,Red,Tower Kills,306.54309460876686,381.32629280701406,343.14035485736855,457.683456098569
Support,Blue,Wards Placed,1034.805629179227,421.3236381393554,1310.4539607774936,479.22936939529995
Support,Blue,Smokes Used,909.3321205219007,483.72765171313944,1188.9713547400524,545.2987299106551
Support,Blue,Lotuses Grabbed,768.6518372336764,624.8586613794645,905.9317922565277,731.9369309763638
Support,Blue,Watchers Taken,583.5191254763137,598.4257316530467,844.281857369302,730.1404993032439
Support,Blue,Camps Stacked,655.627332878875,502.2436520468568,481.15980198164937,434.2719981740289
Support,Blue,Runes Grabbed,413.29241680832587,270.82369305171557,384.2257675006774,257.66276349891416
Support,Green,Teamfight Participation,1273.8701919926912,265.3479791961448,1275.5144228245965,268.55816642140655
Support,Green,Tormentor Kills,408.7516770673931,527.9245942906831,470.4548251955917,565.7482300419597
Support,Green,Stuns,579.4258693706254,568.327309084487,426.47168453352674,439.31459577894157
Support,Green,Courier Kills,294.112380767324,496.20785136464707,218.29264695197674,378.831301894634
Support,Green,First Blood,174.76274362432451,488.83516221212074,173.99745665178546,433.50287560015835
Support,Green,Roshan Kills,67.96453142677316,227.06030530393798,95.78300659131502,301.61180812746466
