player_id,player_role,suffix_name,suffix_bonus,suffix_prob,effective_bonus
10366616,Support,of the Ant,8,0.09932806195402194,0.007946244956321756
10366616,Support,of the Bull,9,0.057728504793749864,0.005195565431437487
10366616,Support,of the Mule,21,0.045618953374689096,0.00957998020868471
10366616,Support,of the Octopus,7,0.8491663423952032,0.05944164396766422
10366616,Support,of the Raven,6,0.017844859332023507,0.0010706915599214104
10366616,Support,the Accomplice,7,0.34171735774185524,0.023920215041929867
10366616,Support,the Decisive,25,0.015469079239865326,0.0038672698099663314
10366616,Support,the Divine Thief,9,0.07433024360106964,0.006689721924096268
10366616,Support,the Even-Keeled,25,0,0
10366616,Support,the Flayed Twins Acolyte,7,0.16383621944571533,0.011468535361200074
10366616,Support,the Loquacious,7,0,0
10366616,Support,the Nothl Pilgrim,7,0.13400236839746946,0.009380165787822862
10366616,Support,the Pacifist,8,0.1819199167919093,0.014553593343352744
10366616,Support,the Patient,13,0,0
10366616,Support,the Tormented,9,0.0698464179001864,0.006286177611016777
10366616,Support,the Underdog,6,0.322203165752109,0.019332189945126543
25907144,Support,of the Ant,8,0.09240885304239677,0.007392708243391741
25907144,Support,of the Bull,9,0.018188367696490057,0.0016369530926841052
25907144,Support,of the Mule,21,0.1050321276139618,0.022056746798931978
25907144,Support,of the Octopus,7,0.7094507570829638,0.04966155299580746
25907144,Support,of the Raven,6,0.017844859332023507,0.0010706915599214104
25907144,Support,the Accomplice,7,0.4126991267928193,0.02888893887549735
25907144,Support,the Decisive,25,0.015469079239865326,0.0038672698099663314
25907144,Support,the Divine Thief,9,0.07433024360106964,0.006689721924096268
25907144,Support,the Even-Keeled,25,0,0
25907144,Support,the Flayed Twins Acolyte,7,0.16383621944571533,0.011468535361200074
25907144,Support,the Loquacious,7,0.05913283419810967,0.004139298393867677
25907144,Support,the Nothl Pilgrim,7,0.21340697593530053,0.014938488315471036
25907144,Support,the Pacifist,8,0.10987370985372943,0.008789896788298356
25907144,Support,the Patient,13,0,0
25907144,Support,the Tormented,9,0.0698464179001864,0.006286177611016777
25907144,Support,the Underdog,6,0.322203165752109,0.019332189945126543
56351509,Core,of the Ant,8,0,0
56351509,Core,of the Bull,9,0.047659730424512485,0.004289375738206124
56351509,Core,of the Mule,21,0,0
56351509,Core,of the Octopus,7,0.8693058488454748,0.06085140941918324
56351509,Core,of the Raven,6,0.0504964841053818,0.0030297890463229084
56351509,Core,the Accomplice,7,0.22740802720274317,0.01591856190419202
56351509,Core,the Decisive,25,0.04158684512207724,0.01039671128051931
56351509,Core,the Divine Thief,9,0.07898279725175474,0.0071084517526579264
56351509,Core,the Even-Keeled,25,0,0
