player_id,player_role,prefix_name,prefix_bonus,prefix_prob,effective_bonus
10366616,Support,Balanced,15,0.11967395080517028,0.01795109262077554
10366616,Support,Bestial,15,0.49069276177924986,0.07360391426688748
10366616,Support,Brawny,13,0.057808824223914444,0.007515147149108877
10366616,Support,Canny,11,0.7332881945683589,0.08066170140251948
10366616,Support,Cerulean,19,0.02971162722700822,0.005645209173131561
10366616,Support,Clutch,11,0.24371987432444825,0.02680918617568931
10366616,Support,Coveted,15,0.0398007771195104,0.00597011656792656
10366616,Support,Crimson,13,0.06257874823172815,0.00813523727012466
10366616,Support,Dashing,15,0.08922903040255634,0.01338435456038345
10366616,Support,Elemental,15,0.1587726097015158,0.02381589145522737
10366616,Support,Emerald,18,0.5421334013949387,0.09758401225108897
10366616,Support,Glamorous,25,0,0
10366616,Support,Hirsute,10,0.26188640439034117,0.026188640439034117
10366616,Support,Otherworldly,13,0.2839372686298121,0.036911844921875575
10366616,Support,Sacrificial,15,0.19207124032489953,0.02881068604873493
10366616,Support,Virtuoso,13,0.22591751179295302,0.029369276533083896
25907144,Support,Balanced,15,0.2847715800120122,0.04271573700180183
25907144,Support,Bestial,15,0.018670414802725483,0.0028005622204088226
25907144,Support,Brawny,13,0.06510855709401489,0.008464112422221936
25907144,Support,Canny,11,0.279217144869348,0.03071388593562828
25907144,Support,Cerulean,19,0.018811841969034505,0.0035742499741165555
25907144,Support,Clutch,11,0.24371987432444825,0.02680918617568931
25907144,Support,Coveted,15,0.009381972111111974,0.0014072958166667963
25907144,Support,Crimson,13,0.2721684077004544,0.035381893001059074
25907144,Support,Dashing,15,0.26686870168449073,0.04003030525267361
25907144,Support,Elemental,15,0.10065251515078616,0.015097877272617924
25907144,Support,Emerald,18,0.27063133817522306,0.048713640871540155
25907144,Support,Glamorous,25,0.009381972111111974,0.0023454930277779936
25907144,Support,Hirsute,10,0.40371553528939147,0.04037155352893915
25907144,Support,Otherworldly,13,0.23021390635142933,0.029927807825685812
25907144,Support,Sacrificial,15,0.050528783504383314,0.007579317525657497
25907144,Support,Virtuoso,13,0.3294502622990768,0.04282853409887998
56351509,Core,Balanced,15,0.4769046341369511,0.07153569512054267
56351509,Core,Bestial,15,0.2858918504606849,0.042883777569102735
56351509,Core,Brawny,13,0.41919856863808436,0.05449581392295096
56351509,Core,Canny,11,0.07312901842192215,0.008044192026411436
56351509,Core,Cerulean,19,0.17915779758846972,0.03403998154180925
56351509,Core,Clutch,11,0.18569557535351996,0.020426513288887196
56351509,Core,Coveted,15,0.0841892273213213,0.012628384098198194
56351509,Core,Crimson,13,0.3634832748478532,0.04725282573022092
56351509,Core,Dashing,15,0.03076777880304241,0.004615166820456361
56351509,Core,Elemental,15,0.27032925113738426,0.040549387670607645
56351509,Core,Emerald,18,0.1815736479629491,0.03268325663333083
56351509,Core,Glamorous,25,0,0
56351509,Core,Hirsute,10,0.4505298589700391,0.04505298589700391
56351509,Core,Otherworldly,13,0.15080586915990668,0.01960476299078787
56351509,Core,Sacrificial,15,0.32099466319584063,0.0481491994793761
56351509,Core,Virtuoso,13,0.34365916273233704,0.04467569115520382
73401082,Support,Balanced,15,0.27652344908660587,0.04147851736299088
73401082,Support,Bestial,15,0.1352680407891144,0.02029020611836716
73401082,Support,Brawny,13,0.12402459138388794,0.016123196879905433
73401082,Support,Canny,11,0.5318259859326167,0.05850085845258783
73401082,Support,Cerulean,19,0.17877127756736774,0.03396654273779987
73401082,Support,Clutch,11,0.18569557535351996,0.020426513288887196
73401082,Support,Coveted,15,0.054520200953849844,0.008178030143077476
73401082,Support,Crimson,13,0.3924124778844816,0.05101362212498261
73401082,Support,Dashing,15,0.058359653265852386,0.008753947989877858
73401082,Support,Elemental,15,0.08088729711374808,0.012133094567062212
73401082,Support,Emerald,18,0.19092792572544498,0.0343670266305801
73401082,Support,Glamorous,25,0.018929483272224778,0.0047323708180561945
73401082,Support,Hirsute,10,0.2610863737703108,0.02610863737703108
73401082,Support,Otherworldly,13,0.07549915080335369,0.00981488960443598
73401082,Support,Sacrificial,15,0.13316926469293167,0.01997538970393975
73401082,Support,Virtuoso,13,0.3789025951750571,0.04925733737275742
81306398,Support,Balanced,15,0.20699992625276903,0.031049988937915357
81306398,Support,Bestial,15,0.20298511620899826,0.030447767431349738
81306398,Support,Brawny,13,0.3235471189944629,0.042061125469280175
81306398,Support,Canny,11,0.4139827994147603,0.04553810793562363
81306398,Support,Cerulean,19,0.1523670372109879,0.0289497370700877
81306398,Support,Clutch,11,0.17402944716789334,0.019143239188468268
81306398,Support,Coveted,15,0.04124034450693235,0.006186051676039852
81306398,Support,Crimson,13,0.24711130028872139,0.03212446903753378
81306398,Support,Dashing,15,0.05547015533800785,0.008320523300701177
81306398,Support,Elemental,15,0.31970446361867566,0.04795566954280135
81306398,Support,Emerald,18,0.1610184787644186,0.02898332617759535
81306398,Support,Glamorous,25,0,0
81306398,Support,Hirsute,10,0.1598158654929041,0.01598158654929041
81306398,Support,Otherworldly,13,0.05215251195532065,0.006779826554191685
81306398,Support,Sacrificial,15,0.32648705554377927,0.048973058331566885
81306398,Support,Virtuoso,13,0,0
86698277,Core,Balanced,15,0.17598132558540086,0.026397198837810127
86698277,Core,Bestial,15,0.2168492350681617,0.03252738526022426
86698277,Core,Brawny,13,0.6169257875175954,0.0802003523772874
86698277,Core,Canny,11,0.16769709824255336,0.018446680806680868
86698277,Core,Cerulean,19,0.033393566327534714,0.006344777602231596
86698277,Core,Clutch,11,0.27067348533425717,0.029774083386768287
86698277,Core,Coveted,15,0.31711084606804635,0.04756662691020695
86698277,Core,Crimson,13,0.4491792244783,0.058393299182179004
86698277,Core,Dashing,15,0.03939578865445034,0.005909368298167551
86698277,Core,Elemental,15,0.19408204094837866,0.029112306142256798
86698277,Core,Emerald,18,0.01883403490644336,0.003390126283159805
86698277,Core,Glamorous,25,0,0
86698277,Core,Hirsute,10,0.5551141380188821,0.05551141380188821
86698277,Core,Otherworldly,13,0.1623103209528513,0.02110034172387067
86698277,Core,Sacrificial,15,0.2616392086861523,0.03924588130292284
86698277,Core,Virtuoso,13,0.41299786645456144,0.05368972263909298
93618577,Mid,Balanced,15,0.22229096960592568,0.03334364544088885
93618577,Mid,Bestial,15,0.30745736357824566,0.04611860453673684
93618577,Mid,Brawny,13,0.09383959083685925,0.012199146808791703
93618577,Mid,Canny,11,0.5283796856887821,0.05812176542576603
93618577,Mid,Cerulean,19,0.17214974519815315,0.0327084515876491
93618577,Mid,Clutch,11,0.27067348533425717,0.029774083386768287
93618577,Mid,Coveted,15,0.18461523326975382,0.027692284990463074
93618577,Mid,Crimson,13,0.20804418314038628,0.027045743808250217
93618577,Mid,Dashing,15,0.15548975386843306,0.023323463080264957
93618577,Mid,Elemental,15,0.3337569019527283,0.05006353529290924
93618577,Mid,Emerald,18,0.060461176004285015,0.010883011680771302
93618577,Mid,Glamorous,25,0.18030652502715225,0.04507663125678806
93618577,Mid,Hirsute,10,0.29133954811829393,0.029133954811829392
93618577,Mid,Otherworldly,13,0.26302741863474743,0.03419356442251717
93618577,Mid,Sacrificial,15,0.25464855172183404,0.03819728275827511
93618577,Mid,Virtuoso,13,0.6735436694267934,0.08756067702548315
94296097,Support,Balanced,15,0.1434069347261967,0.021511040208929508
94296097,Support,Bestial,15,0.21997707445722656,0.03299656116858398
94296097,Support,Brawny,13,0.21663964450911016,0.028163153786184322
94296097,Support,Canny,11,0.590444713223547,0.06494891845459017
94296097,Support,Cerulean,19,0.1250059983849233,0.023751139693135425
94296097,Support,Clutch,11,0.17573142278412945,0.019330456506254243
94296097,Support,Coveted,15,0.04418580066397172,0.006627870099595759
94296097,Support,Crimson,13,0.4936681392159964,0.06417685809807953
94296097,Support,Dashing,15,0.049508707541146016,0.007426306131171903
94296097,Support,Elemental,15,0.09947094736434926,0.014920642104652389
94296097,Support,Emerald,18,0.03888951364862153,0.007000112456751876
94296097,Support,Glamorous,25,0,0
94296097,Support,Hirsute,10,0.41286418353277865,0.041286418353277864
94296097,Support,Otherworldly,13,0.03888951364862153,0.0050556367743208
94296097,Support,Sacrificial,15,0.20338307378262,0.030507461067392997
94296097,Support,Virtuoso,13,0,0
100058342,Core,Balanced,15,0.22020736174128816,0.033031104261193225
100058342,Core,Bestial,15,0.05732965428100192,0.008599448142150287
100058342,Core,Brawny,13,0.3486763159219915,0.04532792106985889
100058342,Core,Canny,11,0,0
100058342,Core,Cerulean,19,0.04578653434680508,0.008699441525892965
100058342,Core,Clutch,11,0.24371987432444825,0.02680918617568931
100058342,Core,Coveted,15,0.35099027983342895,0.05264854197501435
100058342,Core,Crimson,13,0.16989790608972474,0.022086727791664217
100058342,Core,Dashing,15,0.4311163223367204,0.06466744835050807
100058342,Core,Elemental,15,0.0690028133630469,0.010350422004457033
100058342,Core,Emerald,18,0.19613891524361346,0.03530500474385043
100058342,Core,Glamorous,25,0.05732965428100192,0.01433241357025048
100058342,Core,Hirsute,10,0.18172732042525108,0.01817273204252511
100058342,Core,Otherworldly,13,0.10631609936848706,0.013821092917903318
100058342,Core,Sacrificial,15,0.10652134671612484,0.015978202007418726
100058342,Core,Virtuoso,13,0.25942051145895123,0.033724666489663664
101356886,Support,Balanced,15,0.20030211120789243,0.030045316681183865
101356886,Support,Bestial,15,0.38723297254512445,0.05808494588176867
101356886,Support,Brawny,13,0.3920335750101746,0.050964364751322704
101356886,Support,Canny,11,0.39884526481969346,0.04387297913016628
101356886,Support,Cerulean,19,0.115119238886249,0.02187265538838731
101356886,Support,Clutch,11,0.2702448417820922,0.029726932596030143
101356886,Support,Coveted,15,0,0
101356886,Support,Crimson,13,0.07875744752216599,0.010238468177881578
101356886,Support,Dashing,15,0.008819048962239517,0.0013228573443359276
101356886,Support,Elemental,15,0.27577818874445015,0.041366728311667524
101356886,Support,Emerald,18,0.22761649012261562,0.04097096822207081
101356886,Support,Glamorous,25,0,0
101356886,Support,Hirsute,10,0.3225309254276755,0.03225309254276754
101356886,Support,Otherworldly,13,0.20006217510917634,0.026008082764192926
101356886,Support,Sacrificial,15,0.22564753649348088,0.03384713047402213
101356886,Support,Virtuoso,13,0,0
103735745,Support,Balanced,15,0.129595822028927,0.01943937330433905
103735745,Support,Bestial,15,0.18778874257942535,0.0281683113869138
103735745,Support,Brawny,13,0.514050750656682,0.06682659758536866
103735745,Support,Canny,11,0.3032848842938955,0.033361337272328505
103735745,Support,Cerulean,19,0.009725689169850654,0.001847880942271624
103735745,Support,Clutch,11,0.27067348533425717,0.029774083386768287
103735745,Support,Coveted,15,0.05145850746569997,0.007718776119854995
103735745,Support,Crimson,13,0.10940099609668298,0.014222129492568786
103735745,Support,Dashing,15,0.05306854302049556,0.007960281453074335
103735745,Support,Elemental,15,0.17576653810273146,0.026364980715409717
103735745,Support,Emerald,18,0.24730670764386845,0.04451520737589632
103735745,Support,Glamorous,25,0.013499720493136916,0.0033749301232842296
103735745,Support,Hirsute,10,0.2653692552513474,0.02653692552513474
103735745,Support,Otherworldly,13,0.19982367007854732,0.02597707711021115
103735745,Support,Sacrificial,15,0.11329008440199188,0.016993512660298783
103735745,Support,Virtuoso,13,0,0
106573901,Mid,Balanced,15,0.23479540267757995,0.03521931040163699
106573901,Mid,Bestial,15,0.2326683744204883,0.03490025616307325
106573901,Mid,Brawny,13,0.15586490044870627,0.020262437058331813
106573901,Mid,Canny,11,0.5076678834502973,0.05584346717953271
106573901,Mid,Cerulean,19,0.29036976197173364,0.05517025477462939
106573901,Mid,Clutch,11,0.18569557535351996,0.020426513288887196
106573901,Mid,Coveted,15,0.24069270018622732,0.0361039050279341
106573901,Mid,Crimson,13,0.23546762525067633,0.030610791282587924
106573901,Mid,Dashing,15,0.10167181342341644,0.015250772013512466
106573901,Mid,Elemental,15,0.2732852430611262,0.040992786459168935
106573901,Mid,Emerald,18,0.02693686099955809,0.004848634979920456
106573901,Mid,Glamorous,25,0.05911511048476531,0.014778777621191327
106573901,Mid,Hirsute,10,0.33585446407303426,0.033585446407303425
106573901,Mid,Otherworldly,13,0.49162142348822974,0.06391078505346987
106573901,Mid,Sacrificial,15,0.17634921666568282,0.026452382499852423
106573901,Mid,Virtuoso,13,0.6860238327433046,0.0891830982566296
111114687,Support,Balanced,15,0.22030687586267442,0.03304603137940117
111114687,Support,Bestial,15,0.05377966426106547,0.008066949639159821
111114687,Support,Brawny,13,0.2841479966195609,0.03693923956054292
111114687,Support,Canny,11,0.43349191988378855,0.047684111187216736
111114687,Support,Cerulean,19,0.16751945714563152,0.03182869685766999
111114687,Support,Clutch,11,0.2395619501694938,0.02635181451864432
111114687,Support,Coveted,15,0.153751071790312,0.023062660768546798
111114687,Support,Crimson,13,0.28862086473274023,0.03752071241525623
111114687,Support,Dashing,15,0.056464618416190084,0.008469692762428512
111114687,Support,Elemental,15,0.24781048707728134,0.0371715730615922
111114687,Support,Emerald,18,0.13798877581771374,0.02483797964718847
111114687,Support,Glamorous,25,0.13839860033035237,0.03459965008258809
111114687,Support,Hirsute,10,0.26123420553488247,0.026123420553488246
111114687,Support,Otherworldly,13,0.09034320636376315,0.011744616827289209
111114687,Support,Sacrificial,15,0.15425303953172553,0.023137955929758827
111114687,Support,Virtuoso,13,0.0059949024644873165,7.793373203833512e-4
111620041,Mid,Balanced,15,0.22483827988352875,0.03372574198252931
111620041,Mid,Bestial,15,0.30748338271771974,0.046122507407657956
111620041,Mid,Brawny,13,0.09018919726892743,0.011724595644960567
111620041,Mid,Canny,11,0.5167310051350525,0.056840410564855774
111620041,Mid,Cerulean,19,0.3414946764715423,0.06488398852959304
111620041,Mid,Clutch,11,0.2702448417820922,0.029726932596030143
111620041,Mid,Coveted,15,0.22426924548044763,0.033640386822067145
111620041,Mid,Crimson,13,0.15255015979363934,0.019831520773173114
111620041,Mid,Dashing,15,0.1682415177124913,0.025236227656873694
111620041,Mid,Elemental,15,0.16518699294070435,0.024778048941105656
111620041,Mid,Emerald,18,0.07013154348136878,0.01262367782664638
111620041,Mid,Glamorous,25,0.16400183007761907,0.041000457519404766
111620041,Mid,Hirsute,10,0.4086858385558349,0.04086858385558349
111620041,Mid,Otherworldly,13,0.40851826889656134,0.053107374956552975
111620041,Mid,Sacrificial,15,0.2308265024358153,0.034623975365372296
111620041,Mid,Virtuoso,13,0,0
118134220,Core,Balanced,15,0.19781796733579313,0.029672695100368972
118134220,Core,Bestial,15,0.42486427784401737,0.06372964167660261
118134220,Core,Brawny,13,0.6796367908039466,0.08835278280451306
118134220,Core,Canny,11,0.11432391678725694,0.012575630846598263
118134220,Core,Cerulean,19,0.02761764114793509,0.0052473518181076675
118134220,Core,Clutch,11,0.2395619501694938,0.02635181451864432
118134220,Core,Coveted,15,0.2861710071874506,0.04292565107811759
118134220,Core,Crimson,13,0.3489604950393022,0.04536486435510929
118134220,Core,Dashing,15,0.008221325073003308,0.0012331987609504962
118134220,Core,Elemental,15,0.22540564129729102,0.03381084619459365
118134220,Core,Emerald,18,0.14129262733209186,0.025432672919776533
118134220,Core,Glamorous,25,0.06530248248443417,0.016325620621108542
118134220,Core,Hirsute,10,0.474728151744049,0.047472815174404895
118134220,Core,Otherworldly,13,0.2778379587490654,0.0361189346373785
118134220,Core,Sacrificial,15,0.3018118615588105,0.04527177923382157
118134220,Core,Virtuoso,13,0.1543219910132815,0.0200618588317266
127617979,Core,Balanced,15,0.3288789751326025,0.04933184626989037
127617979,Core,Bestial,15,0.04455570426057409,0.006683355639086114
127617979,Core,Brawny,13,0.1523447681517411,0.019804819859726343
127617979,Core,Canny,11,0,0
127617979,Core,Cerulean,19,0.18452730287030988,0.035060187545358876
127617979,Core,Clutch,11,0.27067348533425717,0.029774083386768287
127617979,Core,Coveted,15,0.4068789509626968,0.06103184264440451
127617979,Core,Crimson,13,0.11861394686166103,0.015419813092015934
127617979,Core,Dashing,15,0.5187762567156564,0.07781643850734846
127617979,Core,Elemental,15,0.10638340387998627,0.01595751058199794
127617979,Core,Emerald,18,0.1617365674233019,0.029112582136194342
127617979,Core,Glamorous,25,0.2733517271314056,0.0683379317828514
127617979,Core,Hirsute,10,0.2698253020272702,0.02698253020272702
127617979,Core,Otherworldly,13,0.06182800724514449,0.008037640941868785
127617979,Core,Sacrificial,15,0.23608121956524858,0.03541218293478729
127617979,Core,Virtuoso,13,0.3894814043380998,0.05063258256395297
129958758,Core,Balanced,15,0.2352576774533264,0.03528865161799896
129958758,Core,Bestial,15,0.1745573860344735,0.026183607905171026
129958758,Core,Brawny,13,0.6828288151593506,0.08876774597071557
129958758,Core,Canny,11,0.08191350738732299,0.009010485812605528
129958758,Core,Cerulean,19,0.030270305974043767,0.005751358135068315
129958758,Core,Clutch,11,0.16616103977219862,0.01827771437494185
129958758,Core,Coveted,15,0.15368351099620428,0.02305252664943064
129958758,Core,Crimson,13,0.40221463514934636,0.052287902569415026
129958758,Core,Dashing,15,0,0
129958758,Core,Elemental,15,0.20084627252465687,0.03012694087869853
129958758,Core,Emerald,18,0.1452995564517714,0.02615392016131885
129958758,Core,Glamorous,25,0.044972389500739486,0.011243097375184872
129958758,Core,Hirsute,10,0.5351798181702743,0.053517981817027424
129958758,Core,Otherworldly,13,0.21139527764098298,0.02748138609332779
129958758,Core,Sacrificial,15,0.3534076152787549,0.05301114229181324
129958758,Core,Virtuoso,13,0,0
131303632,Mid,Balanced,15,0.1293528904481443,0.019402933567221645
131303632,Mid,Bestial,15,0.29068242389251153,0.04360236358387673
131303632,Mid,Brawny,13,0.26789707331848994,0.03482661953140369
131303632,Mid,Canny,11,0.25456859157639206,0.028002545073403128
131303632,Mid,Cerulean,19,0.2258480435130699,0.04291112826748328
131303632,Mid,Clutch,11,0.17402944716789334,0.019143239188468268
131303632,Mid,Coveted,15,0.40759622371303367,0.06113943355695505
131303632,Mid,Crimson,13,0.28315890520178577,0.03681065767623215
131303632,Mid,Dashing,15,0.34818144465697376,0.05222721669854606
131303632,Mid,Elemental,15,0.27405253476523184,0.04110788021478477
131303632,Mid,Emerald,18,0.13523407157650694,0.02434213288377125
131303632,Mid,Glamorous,25,0.3395877148899414,0.08489692872248535
131303632,Mid,Hirsute,10,0.43004080207121975,0.04300408020712197
131303632,Mid,Otherworldly,13,0.343636112235008,0.04467269459055104
131303632,Mid,Sacrificial,15,0.11836735627883799,0.017755103441825695
131303632,Mid,Virtuoso,13,0.38121309002071413,0.04955770170269283
137129583,Mid,Balanced,15,0.14071869828193376,0.021107804742290064
137129583,Mid,Bestial,15,0.3715448280148228,0.055731724202223415
137129583,Mid,Brawny,13,0.08615986988892681,0.011200783085560485
137129583,Mid,Canny,11,0.550459488613588,0.06055054374749467
137129583,Mid,Cerulean,19,0.5264873224650912,0.10003259126836733
137129583,Mid,Clutch,11,0.16616103977219862,0.01827771437494185
137129583,Mid,Coveted,15,0.14839268312748147,0.02225890246912222
137129583,Mid,Crimson,13,0.22687184329857724,0.029493339628815042
137129583,Mid,Dashing,15,0.2226619432155514,0.03339929148233271
137129583,Mid,Elemental,15,0.0787447042633032,0.01181170563949548
137129583,Mid,Emerald,18,0.05455173862392868,0.009819312952307164
137129583,Mid,Glamorous,25,0.14094338715165924,0.03523584678791481
137129583,Mid,Hirsute,10,0.4355839854856977,0.04355839854856977
137129583,Mid,Otherworldly,13,0.4722699961006131,0.061395099493079704
137129583,Mid,Sacrificial,15,0.218501344787934,0.0327752017181901
137129583,Mid,Virtuoso,13,0.48118890758401395,0.06255455798592181
140288368,Support,Balanced,15,0.2373498795163655,0.03560248192745483
140288368,Support,Bestial,15,0.2029111847181934,0.030436677707729006
140288368,Support,Brawny,13,0.10865913878305244,0.014125688041796819
140288368,Support,Canny,11,0.5607638610451638,0.06168402471496802
140288368,Support,Cerulean,19,0,0
140288368,Support,Clutch,11,0.2822332382305031,0.03104565620535534
140288368,Support,Coveted,15,0.04897209786947314,0.007345814680420971
140288368,Support,Crimson,13,0.37399554604982094,0.04861942098647672
140288368,Support,Dashing,15,0.09322712065541815,0.013984068098312723
140288368,Support,Elemental,15,0.13960631473827678,0.020940947210741516
140288368,Support,Emerald,18,0.3745480033861128,0.0674186406095003
140288368,Support,Glamorous,25,0,0
140288368,Support,Hirsute,10,0.32324369750940934,0.03232436975094093
140288368,Support,Otherworldly,13,0.2640201711414428,0.034322622248387565
140288368,Support,Sacrificial,15,0.19464857820187245,0.029197286730280866
140288368,Support,Virtuoso,13,0,0
140297552,Core,Balanced,15,0.19734300321032677,0.029601450481549017
140297552,Core,Bestial,15,0.276341291875842,0.0414511937813763
140297552,Core,Brawny,13,0.7599381024769447,0.0987919533220028
140297552,Core,Canny,11,0.01167727441495474,0.0012845001856450213
140297552,Core,Cerulean,19,0,0
140297552,Core,Clutch,11,0.2702448417820922,0.029726932596030143
140297552,Core,Coveted,15,0.18789817787912266,0.0281847266818684
140297552,Core,Crimson,13,0.5110130525456124,0.0664316968309296
